"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"Test_Suite","TC04_Order","createSalesOrder","request","OK","","12-Jun-2020 23_16",
"Test_Suite","TC04_Order","getOrderList","request","OK","","12-Jun-2020 23_16",
"Test_Suite","TC04_Order","Property Transfer","transfer","OK","Message:Performed transfer [createToGet]
","12-Jun-2020 23_16",
"Test_Suite","TC04_Order","getOrderById","request","OK","","12-Jun-2020 23_16",
"Test_Suite","TC04_Order","TC04_Properties","properties","OK","","12-Jun-2020 23_16",
